Found 222 baseline files, 222 doc files, 222 common files
numpy\numpy_13_reproduced.txt: baseline=436, with_docs=600, delta=164 (+37.6%)
pandas\pandas_1_fixed.txt: baseline=1601, with_docs=4774, delta=3173 (+198.2%)
numpy\numpy_2_fixed.txt: baseline=856, with_docs=1128, delta=272 (+31.8%)
torch\torch_5_fixed.txt: baseline=2766, with_docs=3431, delta=665 (+24.0%)
other\torchvision_1_fixed.txt: baseline=1802, with_docs=2319, delta=517 (+28.7%)
sklearn\sklearn_6_fixed.txt: baseline=1738, with_docs=2214, delta=476 (+27.4%)
numpy\numpy_7_reproduced.txt: baseline=6746, with_docs=8132, delta=1386 (+20.5%)
numpy\numpy_6_fixed.txt: baseline=1022, with_docs=1856, delta=834 (+81.6%)
numpy\numpy_9_reproduced.txt: baseline=403, with_docs=403, delta=0 (+0.0%)
pandas\pandas_8_fixed.txt: baseline=906, with_docs=969, delta=63 (+7.0%)
numpy\numpy_14_fixed.txt: baseline=1658, with_docs=2242, delta=584 (+35.2%)
torch\torch_9_reproduced.txt: baseline=1977, with_docs=2026, delta=49 (+2.5%)
tensorflow\tensorflow_5_reproduced.txt: baseline=1705, with_docs=2485, delta=780 (+45.7%)
other\statsmodels_1_fixed.txt: baseline=547, with_docs=998, delta=451 (+82.4%)
sklearn\sklearn_6_reproduced.txt: baseline=1734, with_docs=2210, delta=476 (+27.5%)
NBspecific\NBspecific_18_fixed.txt: baseline=789, with_docs=949, delta=160 (+20.3%)
NBspecific\NBspecific_17_reproduced.txt: baseline=725, with_docs=990, delta=265 (+36.6%)
sklearn\sklearn_15_fixed.txt: baseline=2242, with_docs=3229, delta=987 (+44.0%)
other\matplotlib_6_fixed.txt: baseline=1254, with_docs=2344, delta=1090 (+86.9%)
tensorflow\tensorflow_2_reproduced.txt: baseline=755, with_docs=755, delta=0 (+0.0%)
other\seaborn_6_reproduced.txt: baseline=524, with_docs=1322, delta=798 (+152.3%)
NBspecific\NBspecific_7_reproduced.txt: baseline=661, with_docs=1105, delta=444 (+67.2%)
torch\torch_15_fixed.txt: baseline=1484, with_docs=1866, delta=382 (+25.7%)
tensorflow\tensorflow_4_reproduced.txt: baseline=1377, with_docs=4195, delta=2818 (+204.6%)
pandas\pandas_6_reproduced.txt: baseline=619, with_docs=619, delta=0 (+0.0%)
sklearn\sklearn_10_reproduced.txt: baseline=2370, with_docs=4875, delta=2505 (+105.7%)
numpy\numpy_8_reproduced.txt: baseline=5152, with_docs=5842, delta=690 (+13.4%)
other\seaborn_5_fixed.txt: baseline=611, with_docs=2095, delta=1484 (+242.9%)
tensorflow\tensorflow_7_reproduced.txt: baseline=1537, with_docs=1537, delta=0 (+0.0%)
numpy\numpy_15_fixed.txt: baseline=2005, with_docs=2613, delta=608 (+30.3%)
NBspecific\NBspecific_1_fixed.txt: baseline=446, with_docs=559, delta=113 (+25.3%)
torch\torch_13_reproduced.txt: baseline=1827, with_docs=2954, delta=1127 (+61.7%)
sklearn\sklearn_3_fixed.txt: baseline=2155, with_docs=2430, delta=275 (+12.8%)
tensorflow\tensorflow_7_fixed.txt: baseline=1555, with_docs=1555, delta=0 (+0.0%)
NBspecific\NBspecific_19_reproduced.txt: baseline=57, with_docs=57, delta=0 (+0.0%)
sklearn\sklearn_13_reproduced.txt: baseline=203, with_docs=203, delta=0 (+0.0%)
NBspecific\NBspecific_3_fixed.txt: baseline=1229, with_docs=3334, delta=2105 (+171.3%)
sklearn\sklearn_1_fixed.txt: baseline=2430, with_docs=3551, delta=1121 (+46.1%)
other\lightgbm_1_reproduced.txt: baseline=1349, with_docs=1751, delta=402 (+29.8%)
other\matplotlib_2_fixed.txt: baseline=1370, with_docs=2776, delta=1406 (+102.6%)
other\matplotlib_4_reproduced.txt: baseline=745, with_docs=3249, delta=2504 (+336.1%)
NBspecific\NBspecific_7_fixed.txt: baseline=736, with_docs=1180, delta=444 (+60.3%)
numpy\numpy_5_reproduced.txt: baseline=3021, with_docs=3790, delta=769 (+25.5%)
tensorflow\tensorflow_8_reproduced.txt: baseline=2488, with_docs=3859, delta=1371 (+55.1%)
tensorflow\tensorflow_3_fixed.txt: baseline=1018, with_docs=1018, delta=0 (+0.0%)
NBspecific\NBspecific_5_reproduced.txt: baseline=1184, with_docs=1535, delta=351 (+29.6%)
pandas\pandas_11_reproduced.txt: baseline=2993, with_docs=7306, delta=4313 (+144.1%)
tensorflow\tensorflow_10_fixed.txt: baseline=874, with_docs=2076, delta=1202 (+137.5%)
sklearn\sklearn_8_reproduced.txt: baseline=2047, with_docs=2239, delta=192 (+9.4%)
sklearn\sklearn_15_reproduced.txt: baseline=2311, with_docs=3298, delta=987 (+42.7%)
torch\torch_4_reproduced.txt: baseline=2441, with_docs=2441, delta=0 (+0.0%)
numpy\numpy_1_fixed.txt: baseline=1465, with_docs=1465, delta=0 (+0.0%)
numpy\numpy_12_reproduced.txt: baseline=1170, with_docs=5309, delta=4139 (+353.8%)
tensorflow\tensorflow_4_fixed.txt: baseline=1459, with_docs=4504, delta=3045 (+208.7%)
NBspecific\NBspecific_2_fixed.txt: baseline=648, with_docs=840, delta=192 (+29.6%)
sklearn\sklearn_1_reproduced.txt: baseline=2432, with_docs=3552, delta=1120 (+46.1%)
numpy\numpy_11_reproduced.txt: baseline=777, with_docs=2097, delta=1320 (+169.9%)
torch\torch_13_fixed.txt: baseline=1839, with_docs=2966, delta=1127 (+61.3%)
other\matplotlib_3_fixed.txt: baseline=1630, with_docs=4245, delta=2615 (+160.4%)
tensorflow\tensorflow_9_reproduced.txt: baseline=1268, with_docs=1349, delta=81 (+6.4%)
pandas\pandas_3_reproduced.txt: baseline=2431, with_docs=2556, delta=125 (+5.1%)
tensorflow\tensorflow_11_reproduced.txt: baseline=1288, with_docs=2066, delta=778 (+60.4%)
torch\torch_15_reproduced.txt: baseline=1470, with_docs=1852, delta=382 (+26.0%)
tensorflow\tensorflow_15_reproduced.txt: baseline=1088, with_docs=1599, delta=511 (+47.0%)
NBspecific\NBspecific_18_reproduced.txt: baseline=743, with_docs=903, delta=160 (+21.5%)
NBspecific\NBspecific_8_fixed.txt: baseline=1317, with_docs=1896, delta=579 (+44.0%)
pandas\pandas_10_fixed.txt: baseline=929, with_docs=929, delta=0 (+0.0%)
numpy\numpy_12_fixed.txt: baseline=1171, with_docs=5310, delta=4139 (+353.5%)
torch\torch_1_reproduced.txt: baseline=1624, with_docs=2010, delta=386 (+23.8%)
sklearn\sklearn_14_reproduced.txt: baseline=1568, with_docs=1717, delta=149 (+9.5%)
tensorflow\tensorflow_3_reproduced.txt: baseline=1044, with_docs=1125, delta=81 (+7.8%)
sklearn\sklearn_10_fixed.txt: baseline=2438, with_docs=5063, delta=2625 (+107.7%)
sklearn\sklearn_12_reproduced.txt: baseline=1441, with_docs=1441, delta=0 (+0.0%)
pandas\pandas_10_reproduced.txt: baseline=927, with_docs=927, delta=0 (+0.0%)
sklearn\sklearn_5_fixed.txt: baseline=494, with_docs=1789, delta=1295 (+262.1%)
tensorflow\tensorflow_6_fixed.txt: baseline=1887, with_docs=2267, delta=380 (+20.1%)
NBspecific\NBspecific_20_reproduced.txt: baseline=241, with_docs=241, delta=0 (+0.0%)
other\matplotlib_5_fixed.txt: baseline=564, with_docs=2286, delta=1722 (+305.3%)
other\seaborn_1_reproduced.txt: baseline=2537, with_docs=4124, delta=1587 (+62.6%)
NBspecific\NBspecific_14_fixed.txt: baseline=2849, with_docs=5277, delta=2428 (+85.2%)
other\matplotlib_2_reproduced.txt: baseline=1471, with_docs=2877, delta=1406 (+95.6%)
other\seaborn_3_fixed.txt: baseline=1623, with_docs=3420, delta=1797 (+110.7%)
sklearn\sklearn_11_reproduced.txt: baseline=375, with_docs=1119, delta=744 (+198.4%)
NBspecific\NBspecific_9_reproduced.txt: baseline=959, with_docs=1263, delta=304 (+31.7%)
other\statsmodels_1_reproduced.txt: baseline=547, with_docs=998, delta=451 (+82.4%)
numpy\numpy_9_fixed.txt: baseline=411, with_docs=411, delta=0 (+0.0%)
tensorflow\tensorflow_12_reproduced.txt: baseline=1861, with_docs=2637, delta=776 (+41.7%)
tensorflow\tensorflow_1_fixed.txt: baseline=947, with_docs=1723, delta=776 (+81.9%)
torch\torch_12_fixed.txt: baseline=1050, with_docs=2991, delta=1941 (+184.9%)
pandas\pandas_7_reproduced.txt: baseline=1258, with_docs=1258, delta=0 (+0.0%)
pandas\pandas_1_reproduced.txt: baseline=1577, with_docs=4294, delta=2717 (+172.3%)
NBspecific\NBspecific_8_reproduced.txt: baseline=1363, with_docs=1942, delta=579 (+42.5%)
numpy\numpy_15_reproduced.txt: baseline=1997, with_docs=2605, delta=608 (+30.4%)
numpy\numpy_8_fixed.txt: baseline=5170, with_docs=5862, delta=692 (+13.4%)
sklearn\sklearn_3_reproduced.txt: baseline=2026, with_docs=2301, delta=275 (+13.6%)
tensorflow\tensorflow_1_reproduced.txt: baseline=807, with_docs=1583, delta=776 (+96.2%)
sklearn\sklearn_5_reproduced.txt: baseline=429, with_docs=987, delta=558 (+130.1%)
sklearn\sklearn_9_fixed.txt: baseline=2318, with_docs=3407, delta=1089 (+47.0%)
tensorflow\tensorflow_6_reproduced.txt: baseline=1887, with_docs=2267, delta=380 (+20.1%)
NBspecific\NBspecific_19_fixed.txt: baseline=962, with_docs=1043, delta=81 (+8.4%)
other\seaborn_1_fixed.txt: baseline=2544, with_docs=4131, delta=1587 (+62.4%)
pandas\pandas_13_reproduced.txt: baseline=3129, with_docs=4545, delta=1416 (+45.3%)
pandas\pandas_14_fixed.txt: baseline=1193, with_docs=1905, delta=712 (+59.7%)
pandas\pandas_4_fixed.txt: baseline=955, with_docs=3566, delta=2611 (+273.4%)
sklearn\sklearn_12_fixed.txt: baseline=1373, with_docs=1383, delta=10 (+0.7%)
torch\torch_3_fixed.txt: baseline=713, with_docs=794, delta=81 (+11.4%)
numpy\numpy_3_fixed.txt: baseline=1205, with_docs=2350, delta=1145 (+95.0%)
torch\torch_7_fixed.txt: baseline=1999, with_docs=2080, delta=81 (+4.1%)
other\seaborn_2_reproduced.txt: baseline=900, with_docs=1651, delta=751 (+83.4%)
sklearn\sklearn_13_fixed.txt: baseline=1165, with_docs=1169, delta=4 (+0.3%)
other\matplotlib_6_reproduced.txt: baseline=1243, with_docs=2333, delta=1090 (+87.7%)
NBspecific\NBspecific_2_reproduced.txt: baseline=560, with_docs=752, delta=192 (+34.3%)
numpy\numpy_11_fixed.txt: baseline=863, with_docs=2183, delta=1320 (+153.0%)
numpy\numpy_7_fixed.txt: baseline=6745, with_docs=8126, delta=1381 (+20.5%)
pandas\pandas_11_fixed.txt: baseline=1912, with_docs=6227, delta=4315 (+225.7%)
tensorflow\tensorflow_13_fixed.txt: baseline=502, with_docs=551, delta=49 (+9.8%)
pandas\pandas_2_fixed.txt: baseline=1389, with_docs=1696, delta=307 (+22.1%)
NBspecific\NBspecific_20_fixed.txt: baseline=307, with_docs=307, delta=0 (+0.0%)
pandas\pandas_7_fixed.txt: baseline=1277, with_docs=1277, delta=0 (+0.0%)
tensorflow\tensorflow_14_reproduced.txt: baseline=1023, with_docs=2261, delta=1238 (+121.0%)
pandas\pandas_5_fixed.txt: baseline=1976, with_docs=1976, delta=0 (+0.0%)
NBspecific\NBspecific_9_fixed.txt: baseline=945, with_docs=1249, delta=304 (+32.2%)
torch\torch_7_reproduced.txt: baseline=1993, with_docs=2074, delta=81 (+4.1%)
pandas\pandas_5_reproduced.txt: baseline=1968, with_docs=1968, delta=0 (+0.0%)
other\matplotlib_5_reproduced.txt: baseline=576, with_docs=2298, delta=1722 (+299.0%)
pandas\pandas_12_reproduced.txt: baseline=1937, with_docs=2381, delta=444 (+22.9%)
pandas\pandas_14_reproduced.txt: baseline=1192, with_docs=1904, delta=712 (+59.7%)
sklearn\sklearn_9_reproduced.txt: baseline=2318, with_docs=3407, delta=1089 (+47.0%)
torch\torch_3_reproduced.txt: baseline=700, with_docs=781, delta=81 (+11.6%)
NBspecific\NBspecific_12_fixed.txt: baseline=1852, with_docs=4309, delta=2457 (+132.7%)
torch\torch_10_fixed.txt: baseline=2002, with_docs=3201, delta=1199 (+59.9%)
sklearn\sklearn_2_fixed.txt: baseline=2351, with_docs=2545, delta=194 (+8.3%)
sklearn\sklearn_4_fixed.txt: baseline=2447, with_docs=2703, delta=256 (+10.5%)
other\torchvision_1_reproduced.txt: baseline=1809, with_docs=2326, delta=517 (+28.6%)
sklearn\sklearn_2_reproduced.txt: baseline=2324, with_docs=2487, delta=163 (+7.0%)
tensorflow\tensorflow_10_reproduced.txt: baseline=878, with_docs=2070, delta=1192 (+135.8%)
pandas\pandas_3_fixed.txt: baseline=2441, with_docs=2566, delta=125 (+5.1%)
torch\torch_2_fixed.txt: baseline=1749, with_docs=2536, delta=787 (+45.0%)
torch\torch_6_reproduced.txt: baseline=1755, with_docs=2072, delta=317 (+18.1%)
other\matplotlib_4_fixed.txt: baseline=777, with_docs=3444, delta=2667 (+343.2%)
torch\torch_6_fixed.txt: baseline=1531, with_docs=1689, delta=158 (+10.3%)
torch\torch_11_reproduced.txt: baseline=2095, with_docs=2183, delta=88 (+4.2%)
NBspecific\NBspecific_14_reproduced.txt: baseline=1560, with_docs=3667, delta=2107 (+135.1%)
other\statsmodels_2_fixed.txt: baseline=1109, with_docs=2083, delta=974 (+87.8%)
numpy\numpy_5_fixed.txt: baseline=3011, with_docs=3235, delta=224 (+7.4%)
other\seaborn_5_reproduced.txt: baseline=617, with_docs=2101, delta=1484 (+240.5%)
other\seaborn_4_reproduced.txt: baseline=987, with_docs=2185, delta=1198 (+121.4%)
other\matplotlib_1_reproduced.txt: baseline=430, with_docs=2826, delta=2396 (+557.2%)
sklearn\sklearn_4_reproduced.txt: baseline=2473, with_docs=2729, delta=256 (+10.4%)
NBspecific\NBspecific_15_fixed.txt: baseline=801, with_docs=3744, delta=2943 (+367.4%)
numpy\numpy_14_reproduced.txt: baseline=1664, with_docs=2248, delta=584 (+35.1%)
tensorflow\tensorflow_13_reproduced.txt: baseline=505, with_docs=649, delta=144 (+28.5%)
torch\torch_10_reproduced.txt: baseline=1896, with_docs=2804, delta=908 (+47.9%)
torch\torch_8_reproduced.txt: baseline=2022, with_docs=2417, delta=395 (+19.5%)
torch\torch_2_reproduced.txt: baseline=1758, with_docs=2545, delta=787 (+44.8%)
pandas\pandas_15_fixed.txt: baseline=1269, with_docs=1576, delta=307 (+24.2%)
numpy\numpy_1_reproduced.txt: baseline=1464, with_docs=1464, delta=0 (+0.0%)
torch\torch_12_reproduced.txt: baseline=986, with_docs=3146, delta=2160 (+219.1%)
other\statsmodels_2_reproduced.txt: baseline=1062, with_docs=2036, delta=974 (+91.7%)
NBspecific\NBspecific_10_fixed.txt: baseline=2307, with_docs=2436, delta=129 (+5.6%)
other\seaborn_2_fixed.txt: baseline=902, with_docs=1653, delta=751 (+83.3%)
pandas\pandas_4_reproduced.txt: baseline=946, with_docs=3557, delta=2611 (+276.0%)
pandas\pandas_6_fixed.txt: baseline=680, with_docs=1160, delta=480 (+70.6%)
NBspecific\NBspecific_15_reproduced.txt: baseline=631, with_docs=3574, delta=2943 (+466.4%)
NBspecific\NBspecific_3_reproduced.txt: baseline=1068, with_docs=3173, delta=2105 (+197.1%)
NBspecific\NBspecific_10_reproduced.txt: baseline=1446, with_docs=1575, delta=129 (+8.9%)
tensorflow\tensorflow_11_fixed.txt: baseline=1286, with_docs=2063, delta=777 (+60.4%)
torch\torch_14_fixed.txt: baseline=743, with_docs=743, delta=0 (+0.0%)
NBspecific\NBspecific_16_fixed.txt: baseline=1054, with_docs=1117, delta=63 (+6.0%)
numpy\numpy_4_fixed.txt: baseline=1200, with_docs=2345, delta=1145 (+95.4%)
other\seaborn_4_fixed.txt: baseline=1014, with_docs=2212, delta=1198 (+118.1%)
torch\torch_14_reproduced.txt: baseline=419, with_docs=419, delta=0 (+0.0%)
numpy\numpy_4_reproduced.txt: baseline=1162, with_docs=2260, delta=1098 (+94.5%)
sklearn\sklearn_7_reproduced.txt: baseline=636, with_docs=941, delta=305 (+48.0%)
pandas\pandas_13_fixed.txt: baseline=3129, with_docs=4545, delta=1416 (+45.3%)
sklearn\sklearn_8_fixed.txt: baseline=1244, with_docs=1436, delta=192 (+15.4%)

============================================================
TOKEN INCREASE STATISTICS (Adding API Documentation)
============================================================
Total files processed: 222
Mean delta tokens: 855.43
Median delta tokens: 568.50
75th percentile: 1198.00
90th percentile: 2385.50
95th percentile: 2714.50
Min delta tokens: 0
Max delta tokens: 4315
Total additional tokens across all files: 189906

Baseline Token Statistics:
Mean baseline tokens: 1460.02
Median baseline tokens: 1273.00
Total baseline tokens across all files: 324124

Percentage Change Statistics:
Mean percentage change: 73.59%
Median percentage change: 35.89%
75th percentile: 93.80%
90th percentile: 198.08%
95th percentile: 275.87%
Min percentage change: 0.00%
Max percentage change: 557.21%
Overall percentage increase: 58.59%

Distribution:
Files with increased tokens: 191 (86.0%)
Files with decreased tokens: 0 (0.0%)
Files with no change: 31 (14.0%)
Average increase (positive cases): 994.27 tokens (85.53%)
